Fecha;Provincia;test_rapidos_total;test_rapidos_positivos;test_antigenos_total;test_antigenos_positivos;pcr_total;pcr_positivos;codigo_ine;total_pruebas;total_pruebas_positivas;test_porcentaje;pcr_porcentaje;porcentaje_total;sigla;antigenos_porcentaje
2024-09-05;Ávila;47661;1998;213520;40038;199632;14376;5019;460813;56412;4.19210675394977;7.201250300553018;12.24184213553003;AV;18
2024-09-05;Palencia;43255;1625;238181;46191;240000;21965;34120;521436;69781;3.756791122413594;9.152083333333334;13.382466879923902;PA;19
2024-09-05;Segovia;44275;5269;182284;31759;244204;20347;40004;470763;57375;11.900621118012422;8.33196835432671;12.187661307282008;SE;17
2024-09-05;Soria;42499;2778;110367;22873;175617;11506;42173;328483;37157;6.536624391162145;6.55175751778017;11.311696495709063;SO;20
2024-09-05;Castilla y León;543318;32430;2747567;613839;3474770;282730;99999;6765655;928999;5.968880103364881;8.136653649018497;13.731102162318356;CyL;22
2024-09-05;León;94940;6584;559790;106964;588122;52178;24089;1242852;165726;6.934906256583105;8.87196874117955;13.334331038611195;LE;19
2024-09-05;Salamanca;62158;3994;299987;83940;433013;35901;37274;795158;123835;6.42556066797516;8.290975097745333;15.57363442234122;SA;27
2024-09-05;Valladolid;88204;3707;576774;148144;779864;63688;47186;1444842;215539;4.2027572445694075;8.166552116779336;14.917824924801465;VA;25
2024-09-05;Burgos;78528;4531;395263;92520;563592;41788;9059;1037383;138839;5.769916462917686;7.414583599483314;13.383581570162612;BU;23
2024-09-05;Zamora;41798;1944;171401;41410;250726;20981;49275;463925;64335;4.650940236374946;8.368099040386717;13.867543245136607;ZA;24
2024-09-04;Burgos;78526;4531;395256;92519;563554;41786;9059;1037336;138836;5.770063418485597;7.414728668415094;13.38389875604433;BU;23
2024-09-04;León;94939;6584;559745;106962;588093;52177;24089;1242777;165723;6.9349793024994995;8.872236193935311;13.334894353532453;LE;19
2024-09-04;Palencia;43255;1625;238167;46190;239995;21965;34120;521417;69780;3.756791122413594;9.152274005708453;13.38276274076219;PA;19
2024-09-04;Salamanca;62158;3994;299971;83939;433013;35901;37274;795142;123834;6.42556066797516;8.290975097745333;15.573822034303305;SA;27
2024-09-04;Segovia;44275;5269;182279;31758;244194;20347;40004;470748;57374;11.900621118012422;8.332309557155376;12.187837229260666;SE;17
2024-09-04;Castilla y León;543315;32430;2747424;613825;3474604;282726;99999;6765343;928981;5.968913061483669;8.136927258473197;13.731469343091696;CyL;22
2024-09-04;Ávila;47661;1998;213507;40034;199622;14376;5019;460790;56408;4.19210675394977;7.201611044874813;12.2415851038434;AV;18
2024-09-04;Soria;42499;2778;110357;22873;175603;11506;42173;328459;37157;6.536624391162145;6.552279858544558;11.312523024182623;SO;20
2024-09-04;Valladolid;88204;3707;576754;148142;779813;63687;47186;1444771;215536;4.2027572445694075;8.16695797582241;14.918350382171292;VA;25
2024-09-04;Zamora;41798;1944;171388;41408;250717;20981;49275;463903;64333;4.650940236374946;8.368399430433517;13.867769770835714;ZA;24
2024-09-03;Palencia;43255;1625;238152;46189;239978;21964;34120;521385;69778;3.756791122413594;9.152505646350916;13.383200514015556;PA;19
2024-09-03;Segovia;44275;5269;182276;31758;244183;20346;40004;470734;57373;11.900621118012422;8.332275383626214;12.187987270942825;SE;17
2024-09-03;Soria;42499;2778;110342;22870;175596;11506;42173;328437;37154;6.536624391162145;6.5525410601608245;11.312367364212923;SO;20
2024-09-03;Burgos;78525;4531;395241;92516;563513;41786;9059;1037279;138833;5.770136899076727;7.415268148205986;13.384345002646347;BU;23
2024-09-03;León;94938;6583;559696;106957;588084;52177;24089;1242718;165717;6.933999030946512;8.872371974071731;13.335044636031665;LE;19
2024-09-03;Salamanca;62158;3994;299953;83938;433013;35901;37274;795124;123833;6.42556066797516;8.290975097745333;15.574048827604248;SA;27
2024-09-03;Castilla y León;543313;32429;2747250;613809;3474456;282719;99999;6765019;928957;5.968750977797328;8.137072393491241;13.731772224143052;CyL;22
2024-09-03;Ávila;47661;1998;213498;40034;199610;14376;5019;460769;56408;4.19210675394977;7.2020439857722565;12.242143026115038;AV;18
2024-09-03;Valladolid;88204;3707;576728;148140;779768;63682;47186;1444700;215529;4.2027572445694075;8.166788070297832;14.918599017096975;VA;25
2024-09-03;Zamora;41798;1944;171364;41407;250711;20981;49275;463873;64332;4.650940236374946;8.368599702446243;13.868451063114257;ZA;24
2024-09-02;Burgos;78521;4531;395229;92514;563478;41782;9059;1037228;138827;5.7704308401574105;7.41501886497787;13.38442463951995;BU;23
2024-09-02;Palencia;43255;1625;238149;46188;239975;21964;34120;521379;69777;3.756791122413594;9.152620064590062;13.383162728073053;PA;19
2024-09-02;Zamora;41798;1944;171350;41405;250703;20981;49275;463851;64330;4.650940236374946;8.368866746708257;13.868677657264941;ZA;24
2024-09-02;Ávila;47661;1998;213491;40033;199597;14375;5019;460749;56406;4.19210675394977;7.202012054289393;12.242240352122305;AV;18
2024-09-02;León;94938;6583;559639;106947;588061;52176;24089;1242638;165706;6.933999030946512;8.87254893624981;13.335017921550765;LE;19
2024-09-02;Salamanca;62158;3994;299935;83935;433013;35901;37274;795106;123830;6.42556066797516;8.290975097745333;15.574024092385166;SA;27
2024-09-02;Segovia;44274;5268;182273;31756;244169;20346;40004;470716;57370;11.898631250846998;8.332753134099741;12.18781600795384;SE;17
2024-09-02;Soria;42499;2778;110327;22869;175584;11506;42173;328410;37153;6.536624391162145;6.552988882813923;11.312992905209951;SO;20
2024-09-02;Valladolid;88204;3707;576706;148139;779721;63682;47186;1444631;215528;4.2027572445694075;8.167280347714117;14.919242353237609;VA;25
2024-09-02;Castilla y León;543308;32428;2747099;613786;3474301;282713;99999;6764708;928927;5.968621849853122;8.137262718457611;13.731960049125549;CyL;22
2024-09-01;Ávila;47661;1998;213474;40032;199591;14375;5019;460726;56405;4.19210675394977;7.2022285573998825;12.242634450844971;AV;18
2024-09-01;Palencia;43255;1625;238140;46187;239968;21964;34120;521363;69776;3.756791122413594;9.15288705160688;13.383381636211238;PA;19
2024-09-01;Zamora;41798;1944;171332;41400;250691;20981;49275;463821;64325;4.650940236374946;8.36926734505826;13.868496682987619;ZA;24
2024-09-01;León;94937;6583;559570;106937;588051;52176;24089;1242558;165696;6.934072068845655;8.87269981685262;13.335071682770543;LE;19
2024-09-01;Salamanca;62158;3994;299919;83935;433013;35900;37274;795090;123829;6.42556066797516;8.290744157796649;15.574211724458866;SA;27
2024-09-01;Segovia;44274;5268;182265;31755;244146;20346;40004;470685;57369;11.898631250846998;8.333538128824555;12.188406258963001;SE;17
2024-09-01;Soria;42499;2778;110313;22868;175573;11505;42173;328385;37151;6.536624391162145;6.552829877031206;11.313245123863759;SO;20
2024-09-01;Castilla y León;543301;32426;2746907;613764;3474155;282709;99999;6764363;928899;5.968330630718515;8.137489547818102;13.732246480562916;CyL;22
2024-09-01;Burgos;78515;4529;395216;92512;563435;41781;9059;1037166;138822;5.76832452397631;7.415407278568069;13.384742654502752;BU;23
2024-09-01;Valladolid;88204;3707;576678;148138;779687;63681;47186;1444569;215526;4.2027572445694075;8.167508243692662;14.919744228209245;VA;25
2024-08-31;Ávila;47661;1998;213471;40032;199585;14375;5019;460717;56405;4.19210675394977;7.202445073527569;12.242873607876419;AV;18
2024-08-31;León;94937;6583;559545;106933;588034;52175;24089;1242516;165691;6.934072068845655;8.872786267460725;13.335120030647493;LE;19
2024-08-31;Segovia;44274;5268;182262;31754;244140;20346;40004;470676;57368;11.898631250846998;8.333742934381911;12.18842685839091;SE;17
2024-08-31;Castilla y León;543301;32426;2746812;613747;3474059;282705;99999;6764172;928878;5.968330630718515;8.137599275084275;13.73232377887493;CyL;22
2024-08-31;Burgos;78515;4529;395212;92511;563417;41780;9059;1037144;138820;5.76832452397631;7.415466696958026;13.3848337357204;BU;23
2024-08-31;Palencia;43255;1625;238110;46182;239961;21963;34120;521326;69770;3.756791122413594;9.15273731981447;13.383180581824043;PA;19
2024-08-31;Salamanca;62158;3994;299911;83934;433013;35900;37274;795082;123828;6.42556066797516;8.290744157796649;15.574242656732263;SA;27
2024-08-31;Soria;42499;2778;110311;22868;175570;11505;42173;328380;37151;6.536624391162145;6.552941846556928;11.313417382300992;SO;20
2024-08-31;Valladolid;88204;3707;576671;148137;779652;63680;47186;1444527;215524;4.2027572445694075;8.167746635678483;14.920039570046113;VA;25
2024-08-31;Zamora;41798;1944;171319;41396;250687;20981;49275;463804;64321;4.650940236374946;8.369400886364271;13.868142577468067;ZA;24
2024-08-30;León;94937;6583;559515;106930;588019;52175;24089;1242471;165688;6.934072068845655;8.873012606735497;13.33536154968607;LE;19
2024-08-30;Burgos;78515;4529;395209;92511;563393;41777;9059;1037117;138817;5.76832452397631;7.415250100728976;13.384892929148783;BU;23
2024-08-30;Segovia;44274;5268;182252;31752;244131;20346;40004;470657;57366;11.898631250846998;8.33405016159357;12.188493956320633;SE;17
2024-08-30;Castilla y León;543301;32426;2746714;613734;3473957;282702;99999;6763972;928862;5.968330630718515;8.137751848972224;13.732493274661692;CyL;22
2024-08-30;Ávila;47661;1998;213468;40031;199577;14375;5019;460706;56404;4.19210675394977;7.202733781948822;12.24294886543696;AV;18
2024-08-30;Palencia;43255;1625;238089;46178;239958;21963;34120;521302;69766;3.756791122413594;9.152851749056085;13.383029414811375;PA;19
2024-08-30;Salamanca;62158;3994;299901;83934;433013;35900;37274;795072;123828;6.42556066797516;8.290744157796649;15.574438541415118;SA;27
2024-08-30;Soria;42499;2778;110307;22868;175565;11505;42173;328371;37151;6.536624391162145;6.553128470936691;11.313727460707554;SO;20
2024-08-30;Valladolid;88204;3707;576664;148134;779614;63680;47186;1444482;215521;4.2027572445694075;8.168144748555054;14.920296687670737;VA;25
2024-08-30;Zamora;41798;1944;171309;41396;250687;20981;49275;463794;64321;4.650940236374946;8.369400886364271;13.868441592603615;ZA;24
2024-08-29;Ávila;47661;1998;213453;40031;199565;14375;5019;460679;56404;4.19210675394977;7.203166887981359;12.243666414140867;AV;18
2024-08-29;Burgos;78515;4529;395201;92510;563358;41776;9059;1037074;138815;5.76832452397631;7.415533284341396;13.385255054123427;BU;23
2024-08-29;León;94936;6582;559463;106923;588015;52175;24089;1242414;165680;6.933091767085195;8.8730729658257;13.335329447350079;LE;19
2024-08-29;Salamanca;62158;3994;299880;83934;433013;35900;37274;795051;123828;6.42556066797516;8.290744157796649;15.574849915288452;SA;27
2024-08-29;Segovia;44274;5268;182245;31752;244107;20346;40004;470626;57366;11.898631250846998;8.334869544912682;12.189296808931083;SE;17
2024-08-29;Valladolid;88204;3707;576632;148132;779582;63679;47186;1444418;215518;4.2027572445694075;8.168351757736838;14.920750087578527;VA;25
2024-08-29;Castilla y León;543300;32425;2746536;613717;3473814;282696;99999;6763650;928838;5.968157555678263;8.137914119754253;13.732792205392059;CyL;22
2024-08-29;Palencia;43255;1625;238072;46174;239943;21962;34120;521270;69761;3.756791122413594;9.15300717253681;13.382891783528688;PA;19
2024-08-29;Soria;42499;2778;110296;22867;175553;11504;42173;328348;37149;6.536624391162145;6.553006784275974;11.313910850682813;SO;20
2024-08-29;Zamora;41798;1944;171294;41394;250678;20979;49275;463770;64317;4.650940236374946;8.36890353361683;13.86829678504431;ZA;24
2024-08-28;Segovia;44273;5268;182234;31748;244096;20345;40004;470603;57361;11.89890000677614;8.334835474567383;12.188830075456382;SE;17
2024-08-28;Burgos;78514;4529;395188;92510;563303;41774;9059;1037005;138813;5.768397992714675;7.415902276394765;13.385952816042353;BU;23
